,country,median_age_total,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc
148,Niger,15.4,49.01,19.1,25.97,3.28,2.64
211,Uganda,15.8,48.05,21.1,26.3,2.57,1.98
127,Mali,15.8,48.17,18.84,26.26,3.7,3.03
5,Angola,15.9,48.12,18.25,28.03,3.26,2.34
124,Malawi,16.5,46.34,20.55,27.41,3.01,2.69
226,Zambia,16.8,46.03,20.0,28.72,2.93,2.33
33,Burundi,17.0,45.57,19.15,28.74,3.92,2.63
140,Mozambique,17.2,44.72,21.57,27.42,3.4,2.9
73,Gaza Strip,17.2,44.78,21.25,28.02,3.4,2.54
31,Burkina Faso,17.3,44.88,20.07,29.42,3.2,2.43
189,South Sudan,17.3,44.37,20.56,29.58,3.39,2.1
200,Tanzania,17.7,43.74,19.86,29.88,3.51,3.02
116,Liberia,17.8,43.82,19.56,30.33,3.43,2.86
40,Chad,17.8,43.02,21.46,28.62,3.88,3.02
65,Ethiopia,17.9,43.47,20.11,29.58,3.91,2.94
187,Somalia,18.1,43.15,19.04,31.43,4.2,2.19
21,Benin,18.2,42.65,20.44,30.44,3.61,2.87
149,Nigeria,18.4,42.54,19.61,30.74,3.97,3.13
176,Sao Tome and Principe,18.4,41.85,20.68,30.82,3.81,2.83
36,Cameroon,18.5,42.39,19.56,30.87,3.98,3.2
45,"Congo, Democratic Republic of the",18.6,41.74,21.46,30.53,3.6,2.67
71,Gabon,18.6,41.9,20.46,29.52,4.36,3.76
178,Senegal,18.8,41.51,20.33,31.19,3.98,2.98
0,Afghanistan,18.8,40.92,22.22,30.35,3.92,2.59
202,Timor-Leste,18.9,40.91,20.32,29.95,4.94,3.87
84,Guinea,18.9,41.52,19.73,30.59,4.48,3.67
181,Sierra Leone,19.0,41.82,18.56,32.16,3.7,3.76
166,Rwanda,19.0,41.38,19.34,32.77,4.09,2.43
225,Yemen,19.5,39.83,21.21,32.27,3.94,2.75
46,"Congo, Republic of the",19.7,41.67,17.1,33.89,4.29,3.06
123,Madagascar,19.7,39.87,20.34,32.12,4.38,3.3
63,Eritrea,19.7,40.17,19.57,32.63,3.7,3.92
105,Kenya,19.7,40.02,19.15,33.91,3.92,3.0
39,Central African Republic,19.7,40.09,19.94,32.45,4.1,3.43
203,Togo,19.8,40.29,19.2,32.79,4.31,3.41
62,Equatorial Guinea,19.8,39.81,19.72,32.15,4.37,3.95
192,Sudan,19.9,38.68,21.04,32.77,4.24,3.27
44,Comoros,19.9,39.35,19.53,32.91,4.27,3.94
95,Iraq,20.0,39.46,19.25,33.84,3.99,3.46
227,Zimbabwe,20.0,38.9,20.47,31.9,4.27,4.46
85,Guinea-Bissau,20.1,39.03,20.18,32.77,4.57,3.46
130,Mauritania,20.5,38.56,19.81,33.21,4.67,3.76
49,Cote d'Ivoire,20.9,36.97,20.91,34.58,4.04,3.5
72,"Gambia, The",21.0,37.44,20.47,34.4,4.2,3.48
76,Ghana,21.1,38.01,18.63,34.14,4.97,4.25
223,West Bank,21.1,36.5,21.37,34.1,4.54,3.49
141,Namibia,21.2,36.97,20.35,34.37,4.35,3.96
224,Western Sahara,21.3,37.24,19.53,34.33,5.03,3.87
194,Swaziland,21.7,35.01,22.12,34.6,4.3,3.97
218,Vanuatu,22.0,35.51,20.02,35.06,5.42,3.99
82,Guatemala,22.1,34.5,21.58,34.12,5.26,4.54
186,Solomon Islands,22.5,34.59,19.99,36.5,4.65,4.27
103,Jordan,22.5,34.68,20.07,37.36,4.44,3.45
20,Belize,22.7,33.95,20.55,36.62,4.99,3.89
129,Marshall Islands,22.9,34.89,18.0,37.28,5.82,4.02
87,Haiti,23.0,32.81,21.25,36.78,5.01,4.15
204,Tonga,23.0,33.87,19.65,34.3,5.76,6.42
88,Honduras,23.0,32.95,21.0,36.63,5.13,4.29
112,Laos,23.0,32.76,21.17,36.7,5.48,3.89
156,Papua New Guinea,23.1,33.43,19.92,36.89,5.49,4.28
159,Philippines,23.5,33.39,19.16,36.99,5.97,4.49
153,Pakistan,23.8,31.36,21.14,37.45,5.57,4.48
60,Egypt,23.9,33.29,18.94,37.6,5.95,4.22
56,Djibouti,23.9,31.14,21.32,39.03,4.75,3.76
143,Nepal,24.1,30.2,21.73,36.58,6.32,5.17
115,Lesotho,24.2,32.12,19.43,37.94,5.01,5.5
197,Syria,24.3,31.62,19.54,39.22,5.41,4.21
24,Bolivia,24.3,31.85,19.46,37.48,5.9,5.3
174,Samoa,24.4,31.35,19.82,36.33,6.78,5.72
26,Botswana,24.5,31.95,18.91,38.45,5.46,5.23
199,Tajikistan,24.5,32.33,18.61,40.12,5.62,3.32
106,Kiribati,24.6,29.68,21.07,38.98,6.04,4.23
133,"Micronesia, Federated States of",25.1,30.3,19.59,39.19,6.99,3.93
35,Cambodia,25.3,31.01,18.36,40.68,5.69,4.25
34,Cabo Verde,25.4,29.13,20.11,39.64,5.94,5.19
3,American Samoa,25.5,30.28,18.79,36.38,8.58,5.97
152,Oman,25.6,30.1,18.69,43.8,3.92,3.49
210,Tuvalu,25.7,29.29,19.26,36.66,8.77,6.02
147,Nicaragua,25.7,27.24,21.26,40.24,5.98,5.28
100,Jamaica,26.0,27.17,20.79,38.17,5.85,8.02
86,Guyana,26.2,26.22,21.56,38.1,8.03,6.08
142,Nauru,26.4,31.4,16.21,43.4,6.38,2.6
111,Kyrgyzstan,26.5,30.3,16.79,39.84,7.8,5.27
16,Bangladesh,26.7,27.76,19.36,39.73,6.93,6.23
61,El Salvador,27.1,25.92,20.23,39.23,7.14,7.48
188,South Africa,27.1,28.27,17.61,41.78,6.66,5.68
177,Saudi Arabia,27.5,26.1,18.57,46.86,5.03,3.44
23,Bhutan,27.6,25.8,18.81,43.07,6.03,6.29
59,Ecuador,27.7,27.08,18.35,39.59,7.53,7.45
92,India,27.9,27.34,17.9,41.08,7.45,6.24
208,Turkmenistan,27.9,25.79,18.39,43.18,7.9,4.74
158,Peru,28.0,26.31,18.31,40.19,7.78,7.41
58,Dominican Republic,28.1,26.63,18.18,39.66,7.9,7.63
2,Algeria,28.1,29.31,15.3,42.93,6.81,5.65
32,Burma,28.2,26.85,17.75,42.36,7.52,5.53
126,Maldives,28.2,21.4,20.21,48.1,5.85,4.45
157,Paraguay,28.2,24.56,19.29,41.08,7.95,7.12
132,Mexico,28.3,26.93,17.54,40.81,7.64,7.09
136,Mongolia,28.3,26.95,16.09,45.6,7.07,4.29
219,Venezuela,28.3,27.36,17.03,40.53,7.98,7.09
125,Malaysia,28.5,27.83,16.81,41.0,8.27,6.1
217,Uzbekistan,28.6,23.88,18.52,44.49,7.85,5.25
117,Libya,28.9,25.84,17.09,47.28,5.48,4.31
67,Fiji,28.9,27.7,16.13,41.08,8.53,6.55
81,Guam,29.0,27.54,16.63,37.44,9.8,8.59
109,Kosovo,29.1,25.01,17.22,42.57,7.92,7.28
155,Panama,29.2,26.4,16.99,40.35,7.91,8.36
110,Kuwait,29.3,25.02,15.1,52.27,5.07,2.54
139,Morocco,29.3,25.77,17.04,42.32,8.13,6.74
193,Suriname,29.8,24.62,17.44,44.4,7.54,6.01
98,Israel,29.9,27.51,15.53,37.17,8.46,11.33
43,Colombia,30.0,24.22,17.25,41.91,9.18,7.44
29,Brunei,30.2,23.12,17.05,46.75,8.23,4.84
93,Indonesia,30.2,25.02,16.99,42.4,8.58,7.01
94,Iran,30.3,24.19,14.69,48.57,7.22,5.32
213,United Arab Emirates,30.3,21.01,13.51,61.14,3.27,1.07
114,Lebanon,30.5,24.09,16.42,44.79,7.91,6.78
220,Vietnam,30.5,23.55,16.23,45.56,8.55,6.12
